猪,16,439,629,60,150,3
癞蛤蟆,16,439,629,40,150,3
棍犬,16,439,629,20,40,5
刀犬,16,305,635,50,50,4
棍犬,16,305,635,50,80,4
鱼人,16,305,635,50,50,5
刀犬,16,305,635,50,2,4
棍犬,16,305,635,50,2,4
鱼人,16,305,635,50,2,5
猪,16,380,598,10,20,1
癞蛤蟆,16,458,600,15,25,1
棍犬,16,380,658,10,10,1
猪,16,478,318,75,40,3
癞蛤蟆,16,478,338,55,30,3
刀犬,16,478,318,25,1,4
猪,16,380,217,80,40,3
癞蛤蟆,16,358,205,60,30,3
棍犬,16,380,217,25,1,4
猪,16,554,144,30,20,3
癞蛤蟆,16,554,144,20,10,3
猪,16,468,89,30,20,3
癞蛤蟆,16,468,89,25,10,3
猪,16,605,228,30,20,3
癞蛤蟆,16,605,228,25,10,3
刀犬,16,621,89,40,40,4
棍犬,16,621,89,40,40,4
蟒,16,621,89,20,20,5
刀犬,16,621,89,40,2,4
棍犬,16,621,89,40,2,4
蟒,16,621,89,20,1,5
刀犬,16,704,228,80,40,4
棍犬,16,704,228,80,40,4
稻草人,16,704,228,80,40,4
刀犬,16,704,228,80,2,4
棍犬,16,704,228,80,2,4
稻草人,16,704,228,80,2,4
刀犬,16,435,476,110,90,4
棍犬,16,435,476,110,90,4
鱼人,16,435,476,110,90,5
稻草人,16,435,476,110,70,4
刀犬,16,435,476,110,4,4
棍犬,16,435,476,110,4,4
鱼人,16,435,476,110,4,5
稻草人,16,435,476,110,3,4
刀犬,16,618,317,50,40,4
棍犬,16,618,317,50,40,4
稻草人,16,618,317,50,60,4
刀犬,16,618,317,50,2,4
棍犬,16,618,317,50,2,4
稻草人,16,618,317,50,3,4
刀犬,16,351,330,30,20,4
棍犬,16,351,330,30,20,4
稻草人,16,351,330,30,20,4
刀犬,16,351,330,30,1,4
棍犬,16,351,330,30,1,4
稻草人,16,351,330,30,1,4
癞蛤蟆,16,325,110,65,50,4
稻草人,16,325,110,65,20,4
稻草人,16,325,110,65,1,4
棍犬,16,580,335,10,2,60
食人花,16,718,91,50,80,6
蟒,16,718,91,50,50,6
毒蜘蛛,16,718,91,50,60,6
蟒,16,718,91,50,2,6
枣红马0,16,718,91,50,10,15
雪龙0,16,718,91,50,1,180
树,16,718,91,50,10,20
食人花,16,716,336,50,80,6
蟒,16,716,336,50,70,6
蟒,16,716,336,50,3,6
枣红马0,16,716,336,50,10,15
树,16,716,336,40,10,20
食人花,16,655,465,100,80,6
蟒,16,655,465,100,40,6
毒蜘蛛,16,655,465,100,80,6
蟒,16,655,465,100,4,6
巨猿,16,655,465,100,1,20
枣红马0,16,655,465,100,10,15
乌骓0,16,655,465,100,1,30
树,16,655,465,80,30,20
食人花,16,635,615,120,80,6
蟒,16,635,615,120,50,6
毒蜘蛛,16,635,615,120,70,6
蟒,16,635,615,120,5,6
巨猿,16,635,615,120,2,20
枣红马0,16,635,615,120,10,15
乌骓0,16,635,615,120,2,30
树,16,635,615,120,40,25
鱼人,16,662,728,50,30,5
鱼人,16,662,728,50,1,5
鱼人,16,201,627,50,40,6
蟒,16,201,627,50,20,6
鱼人,16,201,627,50,4,6
蟒,16,201,627,50,1,6
食人花,16,193,434,120,80,6
蟒,16,193,434,120,50,6
毒蜘蛛,16,193,434,80,60,7
蟒,16,193,434,120,5,6
枣红马0,16,193,434,120,10,15
树,16,193,434,120,20,25
鱼人,16,120,579,25,30,6
鱼人,16,120,579,25,1,6
食人花,16,155,177,125,80,6
蟒,16,155,177,125,60,6
毒蜘蛛,16,155,177,125,70,6
蟒,16,155,177,125,6,6
枣红马0,16,155,177,125,10,15
乌骓0,16,155,177,125,2,30
树,16,155,177,110,30,25
树,16,305,635,40,150,20
树,16,704,228,50,200,20
#任务,,,,,,
棍犬,16,380,660,20,3,1
