ºÚÉßÑý,195,80,116,4,2,1000
ºìÉßÑý,195,80,116,4,2,997
ÈýÍ·Éß,195,80,116,4,2,994
Ä§¼×³æ,195,80,116,4,2,991
ºÚÉßÑý,195,90,128,5,2,988
ºìÉßÑý,195,90,128,5,2,985
ÈýÍ·Éß,195,90,128,5,2,982
Ä§¼×³æ,195,90,128,5,2,979
ºÚÉßÑý,195,81,135,4,2,976
ºìÉßÑý,195,81,135,4,2,973
ÈýÍ·Éß,195,81,135,4,2,970
Ä§¼×³æ,195,81,135,4,2,967
ºÚÉßÑý,195,67,142,3,2,964
ºìÉßÑý,195,67,142,3,2,961
ÈýÍ·Éß,195,67,142,3,2,958
Ä§¼×³æ,195,67,142,3,2,955
ºÚÉßÑý,195,60,148,3,2,952
ºìÉßÑý,195,60,148,3,2,949
ÈýÍ·Éß,195,60,148,3,2,946
Ä§¼×³æ,195,60,148,3,2,943
ºÚÉßÑý,195,50,140,3,2,940
ºìÉßÑý,195,50,140,3,2,937
ÈýÍ·Éß,195,50,140,3,2,934
Ä§¼×³æ,195,50,140,3,2,931
ºÚÉßÑý,195,40,129,3,2,928
ºìÉßÑý,195,40,129,3,2,925
ÈýÍ·Éß,195,40,129,3,2,922
Ä§¼×³æ,195,40,129,3,2,919
ºÚÉßÑý,195,29,115,4,2,916
ºìÉßÑý,195,29,115,4,2,913
ÈýÍ·Éß,195,29,115,4,2,910
Ä§¼×³æ,195,29,115,4,2,907
ºÚÉßÑý,195,17,117,4,2,904
ºìÉßÑý,195,17,117,4,2,901
ÈýÍ·Éß,195,17,117,4,2,898
Ä§¼×³æ,195,17,117,4,2,895
ºÚÉßÑý,195,32,104,3,2,892
ºìÉßÑý,195,32,104,3,2,889
ÈýÍ·Éß,195,32,104,3,2,886
Ä§¼×³æ,195,32,104,3,2,883
ºÚÉßÑý,195,42,95,5,2,880
ºìÉßÑý,195,42,95,5,2,877
ÈýÍ·Éß,195,42,95,5,2,874
Ä§¼×³æ,195,42,95,5,2,871
ºÚÉßÑý,195,67,158,4,2,868
ºìÉßÑý,195,67,158,4,2,865
ÈýÍ·Éß,195,67,158,4,2,862
Ä§¼×³æ,195,67,158,4,2,859
ºÚÉßÑý,195,76,170,4,2,856
ºìÉßÑý,195,76,170,4,2,853
ÈýÍ·Éß,195,76,170,4,2,850
Ä§¼×³æ,195,76,170,4,2,847
ºÚÉßÑý,195,86,181,4,2,844
ºìÉßÑý,195,86,181,4,2,841
ÈýÍ·Éß,195,86,181,4,2,838
Ä§¼×³æ,195,86,181,4,2,835
ºÚÉßÑý,195,95,192,4,2,832
ºìÉßÑý,195,95,192,4,2,829
ÈýÍ·Éß,195,95,192,4,2,826
Ä§¼×³æ,195,95,192,4,2,823
ºÚÉßÑý,195,105,183,5,2,820
ºìÉßÑý,195,105,183,5,2,817
ÈýÍ·Éß,195,105,183,5,2,814
Ä§¼×³æ,195,105,183,5,2,811
ºÚÉßÑý,195,116,172,5,2,808
ºìÉßÑý,195,116,172,5,2,805
ÈýÍ·Éß,195,116,172,5,2,802
Ä§¼×³æ,195,116,172,5,2,799
ºÚÉßÑý,195,127,160,4,2,796
ºìÉßÑý,195,127,160,4,2,793
ÈýÍ·Éß,195,127,160,4,2,790
Ä§¼×³æ,195,127,160,4,2,787
ºÚÉßÑý,195,140,148,4,2,784
ºìÉßÑý,195,140,148,4,2,781
ÈýÍ·Éß,195,140,148,4,2,778
Ä§¼×³æ,195,140,148,4,2,775
ºÚÉßÑý,195,153,136,4,2,772
ºìÉßÑý,195,153,136,4,2,769
ÈýÍ·Éß,195,153,136,4,2,766
Ä§¼×³æ,195,153,136,4,2,763
ºÚÉßÑý,195,163,124,5,2,760
ºìÉßÑý,195,163,124,5,2,757
ÈýÍ·Éß,195,163,124,5,2,754
Ä§¼×³æ,195,163,124,5,2,751
ºÚÉßÑý,195,171,116,4,2,748
ºìÉßÑý,195,171,116,4,2,745
ÈýÍ·Éß,195,171,116,4,2,742
Ä§¼×³æ,195,171,116,4,2,739
ºÚÉßÑý,195,164,104,4,2,736
ºìÉßÑý,195,164,104,4,2,733
ÈýÍ·Éß,195,164,104,4,2,730
Ä§¼×³æ,195,164,104,4,2,727
ºÚÉßÑý,195,156,92,5,2,724
ºìÉßÑý,195,156,92,5,2,721
ÈýÍ·Éß,195,156,92,5,2,718
Ä§¼×³æ,195,156,92,5,2,715
ºÚÉßÑý,195,141,97,4,2,712
ºìÉßÑý,195,141,97,4,2,709
ÈýÍ·Éß,195,141,97,4,2,706
